Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
1520;2,999998;0,0144;0,7063;0,0163;28,1772;10,6658;6,5212;True;True;0,3286;0,3946;0,2680;7,0214;68,9492;7,1356;-0,1530;0,1518;-0,0698;-151,4763;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1530;3,139998;0,0129;0,7049;0,0173;28,6747;9,3083;5,8799;True;True;0,2560;0,4789;0,2836;3,8779;66,1310;342,3447;-0,7714;0,7548;0,3821;-154,4767;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;ae9f7ea0-8241-45a3-accc-46f181c774a5;False;
1540;3,279998;0,0080;0,7058;0,0172;28,2945;7,3543;5,0787;True;True;0,1564;0,5242;0,2804;9,0124;58,0322;334,0950;-1,1854;0,2223;-0,3433;-156,7714;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;ae9f7ea0-8241-45a3-accc-46f181c774a5;False;
1550;3,419997;0,0040;0,7062;0,0175;27,9906;6,1830;4,4613;True;True;0,0591;0,4871;0,2849;18,1616;47,0706;340,1817;-0,3339;-0,4432;0,2058;-163,0072;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;ae9f7ea0-8241-45a3-accc-46f181c774a5;False;
1560;3,559997;-0,0010;0,7058;0,0195;27,9955;5,3589;4,3556;True;True;0,0545;0,4368;0,2887;17,2802;42,4904;359,7188;0,1468;-0,1651;0,1417;-161,8345;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1570;3,699997;-0,0018;0,7041;0,0203;28,4936;6,9036;5,5238;True;True;0,1384;0,4447;0,2843;15,1481;53,6713;0,6899;0,5663;0,1317;-0,0042;-161,9791;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
1580;3,839997;0,0037;0,7049;0,0194;28,1044;9,6268;6,7390;True;True;0,2554;0,4572;0,2773;7,2474;70,7870;2,0485;0,5920;-0,1531;-0,0544;-165,6526;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1585;3,899997;0,0066;0,7052;0,0184;28,1842;10,2395;6,8316;True;True;0,2943;0,4415;0,2758;4,0866;75,4130;3,2967;0,6419;-0,3244;-0,0577;-163,9005;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1590;3,979997;0,0090;0,7058;0,0175;27,9501;10,4591;6,6955;True;True;0,3217;0,3935;0,2867;0,6096;77,1316;3,5010;0,4579;-0,9372;0,5263;-160,8143;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1600;4,119997;0,0111;0,7057;0,0181;28,1202;9,5013;5,6954;True;True;0,2874;0,4240;0,2908;5,3257;71,0005;351,9594;-0,3242;0,3594;-0,0158;-151,8192;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;67b21e2d-1b07-4588-9a0c-60479a3147fc;False;
